Country Code,Series Name,2015 [YR2015]
DOM,Exports of goods and services (% of GDP),23.7615823
DOM,Trade (% of GDP),52.17107772
DOM,Merchandise exports (current US$),9442000000
DOM,Commercial service exports (current US$),7267400000
ECU,Imports of goods and services (% of GDP),25.07355398
ECU,Exports of goods and services (% of GDP),22.75448573
ECU,Trade (% of GDP),47.82803971
ECU,Merchandise exports (current US$),18331000000
ECU,Commercial service exports (current US$),2261499493
EGY,Imports of goods and services (% of GDP),21.66209747
EGY,Exports of goods and services (% of GDP),13.18384549
EGY,Trade (% of GDP),34.84594296
EGY,Merchandise exports (current US$),21349000000
EGY,Commercial service exports (current US$),18092400000
SLV,Imports of goods and services (% of GDP),47.07409771
SLV,Exports of goods and services (% of GDP),29.48617302
SLV,Trade (% of GDP),76.56027074
SLV,Merchandise exports (current US$),5509000000
SLV,Commercial service exports (current US$),2410782456
GNQ,Imports of goods and services (% of GDP),42.21958535
GNQ,Exports of goods and services (% of GDP),56.65847382
GNQ,Trade (% of GDP),98.87805917
GNQ,Merchandise exports (current US$),6500000000
GNQ,Commercial service exports (current US$),
ERI,Imports of goods and services (% of GDP),
ERI,Exports of goods and services (% of GDP),
ERI,Trade (% of GDP),
ERI,Merchandise exports (current US$),499000000
ERI,Commercial service exports (current US$),
EST,Imports of goods and services (% of GDP),73.50169126
EST,Exports of goods and services (% of GDP),77.43549844
EST,Trade (% of GDP),150.9371897
EST,Merchandise exports (current US$),12836000000
EST,Commercial service exports (current US$),5812314494
SWZ,Imports of goods and services (% of GDP),40.98284578
SWZ,Exports of goods and services (% of GDP),43.10686579
SWZ,Trade (% of GDP),84.08971156
SWZ,Merchandise exports (current US$),1812000000
SWZ,Commercial service exports (current US$),67412294.68
ETH,Imports of goods and services (% of GDP),30.29281055
ETH,Exports of goods and services (% of GDP),9.363313597
ETH,Trade (% of GDP),39.65612414
ETH,Merchandise exports (current US$),2914000000
ETH,Commercial service exports (current US$),2936812670
FRO,Imports of goods and services (% of GDP),52.39417913
FRO,Exports of goods and services (% of GDP),53.21649246
FRO,Trade (% of GDP),105.6106716
FRO,Merchandise exports (current US$),1022985113
FRO,Commercial service exports (current US$),
FJI,Imports of goods and services (% of GDP),52.35229338
FJI,Exports of goods and services (% of GDP),48.83675558
FJI,Trade (% of GDP),101.189049
FJI,Merchandise exports (current US$),895000000
FJI,Commercial service exports (current US$),1229866837
FIN,Imports of goods and services (% of GDP),35.97558956
FIN,Exports of goods and services (% of GDP),35.40695887
FIN,Trade (% of GDP),71.38254843
FIN,Merchandise exports (current US$),59817000000
FIN,Commercial service exports (current US$),24110938651
FRA,Imports of goods and services (% of GDP),31.15907156
FRA,Exports of goods and services (% of GDP),30.59262238
FRA,Trade (% of GDP),61.75169393
FRA,Merchandise exports (current US$),5.06E+11
FRA,Commercial service exports (current US$),2.55E+11
PYF,Imports of goods and services (% of GDP),36.01670356
PYF,Exports of goods and services (% of GDP),19.61376507
PYF,Trade (% of GDP),55.63046864
PYF,Merchandise exports (current US$),130000000
PYF,Commercial service exports (current US$),828976160.5
GAB,Imports of goods and services (% of GDP),27.91777295
GAB,Exports of goods and services (% of GDP),46.0320085
GAB,Trade (% of GDP),73.94978146
GAB,Merchandise exports (current US$),10654000000
GAB,Commercial service exports (current US$),273340324
GMB,Imports of goods and services (% of GDP),33.34117199
GMB,Exports of goods and services (% of GDP),19.59633316
GMB,Trade (% of GDP),52.93750515
GMB,Merchandise exports (current US$),115000000
GMB,Commercial service exports (current US$),107074012.7
GEO,Imports of goods and services (% of GDP),56.87906217
GEO,Exports of goods and services (% of GDP),40.13724933
GEO,Trade (% of GDP),97.01631151
GEO,Merchandise exports (current US$),2204000000
GEO,Commercial service exports (current US$),2998449370
DEU,Imports of goods and services (% of GDP),39.32548626
DEU,Exports of goods and services (% of GDP),46.92073836
DEU,Trade (% of GDP),86.24622461
DEU,Merchandise exports (current US$),1.33E+12
DEU,Commercial service exports (current US$),2.76E+11
GHA,Imports of goods and services (% of GDP),42.6895661
GHA,Exports of goods and services (% of GDP),33.83170482
GHA,Trade (% of GDP),76.52127092
GHA,Merchandise exports (current US$),10321000000
GHA,Commercial service exports (current US$),6013083944
GIB,Imports of goods and services (% of GDP),
GIB,Exports of goods and services (% of GDP),
GIB,Trade (% of GDP),
GIB,Merchandise exports (current US$),
GIB,Commercial service exports (current US$),
GRC,Imports of goods and services (% of GDP),33.15053123
GRC,Exports of goods and services (% of GDP),32.12716124
GRC,Trade (% of GDP),65.27769247
GRC,Merchandise exports (current US$),28554000000
GRC,Commercial service exports (current US$),34937865462
GRL,Imports of goods and services (% of GDP),45.52153588
GRL,Exports of goods and services (% of GDP),37.57984513
GRL,Trade (% of GDP),83.10138101
GRL,Merchandise exports (current US$),406000000
GRL,Commercial service exports (current US$),
GRD,Imports of goods and services (% of GDP),
GRD,Exports of goods and services (% of GDP),
GRD,Trade (% of GDP),
GRD,Merchandise exports (current US$),33000000
GRD,Commercial service exports (current US$),463085114.8
GUM,Imports of goods and services (% of GDP),53.26780479
GUM,Exports of goods and services (% of GDP),18.07208139
GUM,Trade (% of GDP),71.33988619
GUM,Merchandise exports (current US$),32000000
GUM,Commercial service exports (current US$),
GTM,Imports of goods and services (% of GDP),30.06354563
GTM,Exports of goods and services (% of GDP),19.82990769
GTM,Trade (% of GDP),49.89345332
